fold,image,slot,predicted_class,confidence
1,37b73c19faa083303e8f69bafda24c65_36.jpg,4,P02,0.611968
1,37b73c19faa083303e8f69bafda24c65_36.jpg,2,P03,0.440383
1,5ef5c52cc675810932404c02df11e213_1.jpg,4,P03,0.420195
1,8624924ddcd3b6868d77c1d6258836b5_15.jpg,3,P02,0.702106
1,daf4233188c94eb8c63965a28129f418_41.jpg,1,P05,0.859518
2,8db7664c4ae65a09f76ef29bf5d6eb6f_30.jpg,3,P06,0.777496
2,97227ea9d47e84653334e1551e46f8cc_13.jpg,4,P02,0.450173
2,97227ea9d47e84653334e1551e46f8cc_13.jpg,4,P06,0.256419
2,e305f08cb575cb6c605be139421752ef_32.jpg,3,P06,0.745892
3,256b034f8364af0f2d932ee48812f173_42.jpg,3,P03,0.530323
3,256b034f8364af0f2d932ee48812f173_42.jpg,3,P05,0.292963
3,3864cf784c1fac625ae5679589253bdc_19.jpg,2,P03,0.596077
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,1,P01,0.926275
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,2,P03,0.819723
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,3,P05,0.470654
3,6afec710ddf827582fd7a188d0be28f1_3.jpg,4,P05,0.86579
3,6afec710ddf827582fd7a188d0be28f1_3.jpg,1,P06,0.28803
3,d576927625ff733e0920a36949a6f2fc_14.jpg,1,P02,0.855352
3,de9d17844c00cc042190f79ec2e1ceff_33.jpg,4,P02,0.941277
3,ede37697e4840a7fe9c3c000ceafc106_6.jpg,2,P05,0.461355
4,0fde4084933717f6bf697caaa97a544e_4.jpg,3,P06,0.375934
4,29e4e9540dae509f6e884e7f600e273a_12.jpg,2,P03,0.715831
4,29e4e9540dae509f6e884e7f600e273a_12.jpg,4,P04,0.318097
4,a8d9b388ba5a82bfe5920bcc1536013f_31.jpg,3,P06,0.365895
4,d42ea2803a874cf0d160798caabc9c74_29.jpg,3,P02,0.567867
5,5d7b7522b45f1890b754ac085cc9fd18_5.jpg,2,P01,0.615689
