fold,image,slot,x,y,true_class,predicted_class,confidence,outcome
1,1aa5d7c0cf83f922e29ba46ef23517f7_10.jpg,3,0.61863,0.65562,P03,P03,0.903712,correct
1,1aa5d7c0cf83f922e29ba46ef23517f7_10.jpg,4,0.89847,0.64033,P05,P05,0.846287,correct
1,1aa5d7c0cf83f922e29ba46ef23517f7_10.jpg,2,0.36553,0.66326,P01,P01,0.885888,correct
1,1aa5d7c0cf83f922e29ba46ef23517f7_10.jpg,1,0.09288,0.63328,P06,P06,0.958973,correct
1,37b73c19faa083303e8f69bafda24c65_36.jpg,2,0.36558,0.64129,P05,P05,0.537576,correct
1,37b73c19faa083303e8f69bafda24c65_36.jpg,4,0.89494,0.69508,P02,P02,0.358398,correct
1,3a965f7bfc93779eafdd4d07dd3b85e4_27.jpg,4,0.90515,0.67347,P03,P03,0.977655,correct
1,3a965f7bfc93779eafdd4d07dd3b85e4_27.jpg,2,0.35024,0.63076,P03,P06,0.871498,wrong
1,3a965f7bfc93779eafdd4d07dd3b85e4_27.jpg,3,0.61621,0.6639,P04,P01,0.8583,wrong
1,3a965f7bfc93779eafdd4d07dd3b85e4_27.jpg,1,0.10529,0.67732,P04,P04,0.896611,correct
1,4e6e85483b0acd36dc2f423c2eb716c1_34.jpg,1,0.11124,0.66267,P03,P03,0.481144,correct
1,4e6e85483b0acd36dc2f423c2eb716c1_34.jpg,3,0.61675,0.6613,P01,P01,0.560303,correct
1,4e6e85483b0acd36dc2f423c2eb716c1_34.jpg,4,0.89696,0.63095,P06,P06,0.916777,correct
1,5ef5c52cc675810932404c02df11e213_1.jpg,1,0.08643,0.57926,P02,P06,0.911729,wrong
1,5ef5c52cc675810932404c02df11e213_1.jpg,2,0.36297,0.64541,P02,P02,0.739426,correct
1,5ef5c52cc675810932404c02df11e213_1.jpg,3,0.65095,0.61648,P01,P01,0.772659,correct
1,5ef5c52cc675810932404c02df11e213_1.jpg,4,0.91563,0.59236,P05,P05,0.965717,correct
1,7a034e8c4c416771372722830ba324ab_25.jpg,1,0.0948,0.63012,P06,P06,0.967625,correct
1,7a034e8c4c416771372722830ba324ab_25.jpg,2,0.36988,0.66262,P01,P01,0.905295,correct
1,7a034e8c4c416771372722830ba324ab_25.jpg,3,0.61433,0.68817,P03,P02,0.833362,wrong
1,7a034e8c4c416771372722830ba324ab_25.jpg,4,0.88414,0.66011,P03,P03,0.912328,correct
1,8624924ddcd3b6868d77c1d6258836b5_15.jpg,1,0.08949,0.62545,P04,P04,0.862713,correct
1,8624924ddcd3b6868d77c1d6258836b5_15.jpg,2,0.35834,0.5772,P06,P06,0.904276,correct
1,8624924ddcd3b6868d77c1d6258836b5_15.jpg,3,0.63749,0.64198,P02,P02,0.256191,correct
1,8624924ddcd3b6868d77c1d6258836b5_15.jpg,4,0.91664,0.61991,P01,P01,0.914172,correct
1,daf4233188c94eb8c63965a28129f418_41.jpg,1,0.08382,0.59373,P04,P03,0.537144,wrong
1,daf4233188c94eb8c63965a28129f418_41.jpg,4,0.92442,0.62889,P04,P04,0.935898,correct
1,f2afd12fe19097ef0aff922f60cfcc08_20.jpg,1,0.10149,0.61735,P03,P03,0.90612,correct
1,f2afd12fe19097ef0aff922f60cfcc08_20.jpg,2,0.36892,0.62564,P04,P04,0.93655,correct
1,f2afd12fe19097ef0aff922f60cfcc08_20.jpg,3,0.65113,0.581,P06,P06,0.943655,correct
1,f2afd12fe19097ef0aff922f60cfcc08_20.jpg,4,0.91092,0.64669,P02,P02,0.66556,correct
2,1e6fed2df7cdc48acd02954bfd91cc93_2.jpg,2,0.36315,0.62884,P06,P06,0.663903,correct
2,1e6fed2df7cdc48acd02954bfd91cc93_2.jpg,1,0.11151,0.64221,P05,P05,0.90769,correct
2,1e6fed2df7cdc48acd02954bfd91cc93_2.jpg,3,0.63296,0.65946,P01,P01,0.892611,correct
2,1e6fed2df7cdc48acd02954bfd91cc93_2.jpg,4,0.88318,0.69517,P02,P02,0.807906,correct
2,2910b0c1bb94d7e3916fe3bcd7f5d01c_23.jpg,1,0.09416,0.64683,P02,P02,0.877934,correct
2,2910b0c1bb94d7e3916fe3bcd7f5d01c_23.jpg,2,0.37176,0.61717,P01,P01,0.912772,correct
2,2910b0c1bb94d7e3916fe3bcd7f5d01c_23.jpg,3,0.64678,0.59236,P03,P05,0.779703,wrong
2,2910b0c1bb94d7e3916fe3bcd7f5d01c_23.jpg,4,0.92525,0.62129,P03,P03,0.980622,correct
2,4a7397f6b08ff0771fddff4cda96c9fc_49.jpg,1,0.08794,0.61373,P03,P03,0.963959,correct
2,787a7795a5dcda070b93663402b8b4ee_37.jpg,2,0.36553,0.63456,P05,P05,0.800493,correct
2,787a7795a5dcda070b93663402b8b4ee_37.jpg,4,0.90231,0.63264,P06,P06,0.949316,correct
